"id","owner_user_id","legal_name","tax_code","representative","business_category","logo_url","approval_status","operating_status","created_at","updated_at"
"4a4c007f-e1b5-54e2-8bdf-f02f97bf926c","052c455a-032b-5d14-aa0d-e5e173549d76","Diab Chăm Sóc Sức Khỏe","0303000000","Đại Diện Diab Chăm Sóc Sức Khỏe","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"b07676bf-c59c-5da6-8208-5b4827f3f4c8","ca34ee02-cbb3-5829-b841-1b4d4404b0b6","Nhà Hàng Imeatu","0303000001","Đại Diện Nhà Hàng Imeatu","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"90babb24-f858-581d-b4cc-495088892031","3562477e-c530-5a92-8e6d-9fc8a809decb","Hệ Thống Thẩm Mỹ Viện Ngọc Dung","0303000002","Đại Diện Hệ Thống Thẩm Mỹ Viện Ngọc Dung","Làm Đẹp & Spa","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"5bee9a52-bd14-5e7f-8d71-3e8df42758ec","b5dbd657-6d4a-5a76-97d9-5baa20eeed73","bTaskee","0303000003","Đại Diện bTaskee","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"ea1d94a2-9a0f-5d00-b2b7-61286a841dd7","a98900fb-f699-5e0b-a2c6-a0d3ed7fb6cd","Potico.vn","0303000004","Đại Diện Potico.vn","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"458d1f00-8c77-5f25-83f8-6b18917afa58","17bc855f-5058-535c-87b7-12de94bc033c","Show Thực Cảnh Anh Hùng Cờ Lau","0303000005","Đại Diện Show Thực Cảnh Anh Hùng Cờ Lau","Giải Trí & Thể Thao","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"c988c672-f065-525e-b835-a7e13a9e4ba9","f5b98483-8c54-54f2-a6ea-9f3d0b379c70","Lotteria","0303000006","Đại Diện Lotteria","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"81cfcf7f-96b4-5529-8004-5cd624553afd","419c4b61-f377-5e6f-b7bf-bf53cbcf0981","Saga Coffee (Capital Place)","0303000007","Đại Diện Saga Coffee (Capital Place)","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"479c2a33-6dc5-5559-a0ef-074aa4a88f98","347d2ce9-3172-5636-a2cd-1c2a82fa6662","Yuhua Lẩu Đài Loan","0303000008","Đại Diện Yuhua Lẩu Đài Loan","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"e33529e3-154f-58c2-8340-939b9760c3d6","a4c645bc-4509-5f3c-b8e3-3fb9cd87e7c2","Hệ Thống Sườn Mười","0303000009","Đại Diện Hệ Thống Sườn Mười","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"8250598c-24b5-5cd9-9923-c7236350fc21","6a8c7b7f-27b3-5df5-8cec-11e54443f1b1","Hệ Thống Kidzooona","0303000010","Đại Diện Hệ Thống Kidzooona","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"a6f91e0a-5b42-5022-b676-df4d39d4090b","51502b65-2cd3-5d7a-b607-7de2514e0caf","Dịch Vụ Sân Bay & Phòng Chờ Thương Gia","0303000011","Đại Diện Dịch Vụ Sân Bay & Phòng Chờ Thương Gia","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"574f0d36-3c24-500e-879c-ff074a7a1ada","76b32213-cb0f-55e5-aa10-6112c976a421","VinFast Việt Nam","0303000012","Đại Diện VinFast Việt Nam","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"ede6dba1-b001-5ee7-a3e9-72628126e941","5b2316c6-7a7c-5170-8d4d-518e1dd6771f","Tập Đoàn Vàng Bạc Đá Quý DOJI","0303000013","Đại Diện Tập Đoàn Vàng Bạc Đá Quý DOJI","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"5730c67b-ddcc-574a-97ab-a5efede3d50b","470c5133-62a3-5e22-882d-670233938cf1","Bánh Trung Thu Du Nhiên","0303000014","Đại Diện Bánh Trung Thu Du Nhiên","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"eb164c5d-ec5b-573b-aad4-ceaa07060fa8","b4f26a9b-921e-569d-9654-afc042295c77","Chicken Plus","0303000015","Đại Diện Chicken Plus","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"2f0a3121-5519-5e91-b850-f9a56b5a82eb","33db87e0-91a9-5018-91a2-56dac8098438","Nhà Hàng Chay Tầm Vị","0303000016","Đại Diện Nhà Hàng Chay Tầm Vị","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"7a9d3480-e300-5061-b7d5-dfa5140a3b93","42b2d8ca-373b-5e9f-b14f-aafc71cbddec","Lotte Mart","0303000017","Đại Diện Lotte Mart","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"7aeefa16-64d7-5921-921e-73543d809335","688b712c-6231-5178-933d-ad99eda928c3","Mala Panda","0303000018","Đại Diện Mala Panda","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"42b643c1-aade-546d-9bb1-dca571a6854f","bd715c42-0754-50c8-b52a-5ba56415d589","Khu Vui Chơi Lotty Friends","0303000019","Đại Diện Khu Vui Chơi Lotty Friends","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"cab4918b-d648-55a6-af55-96dc5d0f2ea5","0fb924b6-0dba-5921-a8fb-f65949c4a2f4","The Hanoi Train (Tàu Hà Nội 5 Cửa Ô)","0303000020","Đại Diện The Hanoi Train (Tàu Hà Nội 5 Cửa Ô)","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"56489e78-5264-5908-bc44-c082f3432eaf","68f6db5d-b040-53ba-8329-054e8fabf93d","Sâu Kid Playground","0303000021","Đại Diện Sâu Kid Playground","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"3d6cdbd0-8681-5c55-af2a-39019927b83c","33dc57ee-9566-54f1-97a5-957e73b589a5","Buffet Sen Hàng Tre","0303000022","Đại Diện Buffet Sen Hàng Tre","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"6ced969d-6ec8-501f-8627-20c76db7aed5","d5f8682f-23b8-5661-bb5f-45a82b011463","Hệ Thống Du Thuyền Vịnh Hạ Long","0303000023","Đại Diện Hệ Thống Du Thuyền Vịnh Hạ Long","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"9cd86c00-34c4-5002-a5c6-290e6b011c8a","646d13e5-3b25-5510-8068-c9a35f3d12b7","Siêu Thị Điện Máy Chợ Lớn","0303000024","Đại Diện Siêu Thị Điện Máy Chợ Lớn","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"754bf2c5-3571-54ef-b226-1698d115ea12","40a9fe38-65cb-51aa-9924-8b543b234ecc","Nhà Hàng Ngư Phàn","0303000025","Đại Diện Nhà Hàng Ngư Phàn","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"6aad98b6-ab98-5a1f-af06-0c2cbd26f94e","a1f618ed-0d9e-587a-930f-8a04547a6a84","Life4Cuts Photo Studio","0303000026","Đại Diện Life4Cuts Photo Studio","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"f425e226-d154-5cdd-a277-52803728d2c0","fc9712fb-0cd9-5214-87fd-cea7ef4a4447","Thành Phố Du Lịch Sinh Thái Sơn Tiên","0303000027","Đại Diện Thành Phố Du Lịch Sinh Thái Sơn Tiên","Du Lịch & Khách Sạn","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"e033d72f-35b8-5b27-998a-ed076d642bd6","fe67d325-1f5e-5f44-889b-3fcb4ab4e74f","Xe Buýt 2 Tầng City Sightseeing","0303000028","Đại Diện Xe Buýt 2 Tầng City Sightseeing","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"6be1b529-79ab-5780-b2c9-543c7837c40d","585d4086-8b28-5cb4-8d9b-e2a79f8444da","Spicy Box","0303000029","Đại Diện Spicy Box","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"573593e2-b5b8-5411-b49a-e19b9c07040c","6bb5a6bc-3c67-57ac-a8b1-5f262bfc6bb3","Chuk Tea & Coffee","0303000030","Đại Diện Chuk Tea & Coffee","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"c81efc92-72bb-5ddb-b6d5-60b0a351990e","f3abc4a7-be1b-5662-a594-a4c21ff76e15","ToCoToCo Tea","0303000031","Đại Diện ToCoToCo Tea","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"63399f91-c5d0-5c99-a34b-cc44bf062781","269a4347-dc57-5c1a-8303-5b091acd2044","Du Thuyền Sông Hương Ngự Thuyền Hueritage","0303000032","Đại Diện Du Thuyền Sông Hương Ngự Thuyền Hueritage","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"d7fe495f-d4ca-5551-a40b-94fd87c69adb","1bbec69a-329d-50cc-bf94-51586a06cb0d","Hệ Thống VinWonders & Vinpearl","0303000033","Đại Diện Hệ Thống VinWonders & Vinpearl","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"82348d43-8895-5bcd-af04-cfefdcc396d8","4b090086-8f54-5590-924e-a92d7c41e031","Mebayluon Paragliding (Dù Lượn)","0303000034","Đại Diện Mebayluon Paragliding (Dù Lượn)","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"e0b96ce5-614d-57ba-bd56-6fd575643106","bdf5bafe-96f7-571f-abcc-214df74401bc","Tập Đoàn Sun World","0303000035","Đại Diện Tập Đoàn Sun World","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"3c6a6778-566b-5697-98e8-928121d5e11f","0565ea44-a10c-53d6-91fd-41f540bead6f","Khu Du Lịch Quốc Tế Đồi Rồng (Dragon Ocean)","0303000036","Đại Diện Khu Du Lịch Quốc Tế Đồi Rồng (Dragon Ocean)","Du Lịch & Khách Sạn","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"293424b1-ff6d-5b3c-b06a-6733eb2c8056","57b1e029-cee1-5864-999f-7fcb28bc0012","Khu Vui Chơi Giải Trí Quốc Tế Tuần Châu Park","0303000037","Đại Diện Khu Vui Chơi Giải Trí Quốc Tế Tuần Châu Park","Ẩm Thực & Nhà Hàng","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
"e1d8f03e-e4da-5a58-9a94-42987beded30","0d98d5c2-0bfc-5cb5-9e72-5dee097d6c1b","Khu Du Lịch Sinh Thái Bản Mòng","0303000038","Đại Diện Khu Du Lịch Sinh Thái Bản Mòng","Du Lịch & Khách Sạn","","approved","active","2026-08-26T00:00:00.000Z","2026-08-26T00:00:00.000Z"
